Name,Description,Weight (kg),Regular price,Sale price,Categories,Size,Color,Brand
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.18,17.91,12.537,Sweatshirts/Fleece,XL,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.28,22.47,15.729,Sweatshirts/Fleece,2XL,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.4,23.64,16.548,Sweatshirts/Fleece,3XL,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.56,23.64,16.548,Sweatshirts/Fleece,4XL,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.88,32.985,23.0895,Sweatshirts/Fleece,XS,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.88,32.985,23.0895,Sweatshirts/Fleece,XS,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.88,32.985,23.0895,Sweatshirts/Fleece,XS,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.88,32.985,23.0895,Sweatshirts/Fleece,XS,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.92,32.985,23.0895,Sweatshirts/Fleece,S,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.92,32.985,23.0895,Sweatshirts/Fleece,S,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.92,32.985,23.0895,Sweatshirts/Fleece,S,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.92,32.985,23.0895,Sweatshirts/Fleece,S,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.04,32.985,23.0895,Sweatshirts/Fleece,M,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.04,32.985,23.0895,Sweatshirts/Fleece,M,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.04,32.985,23.0895,Sweatshirts/Fleece,M,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.04,32.985,23.0895,Sweatshirts/Fleece,M,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.08,32.985,23.0895,Sweatshirts/Fleece,L,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.08,32.985,23.0895,Sweatshirts/Fleece,L,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.08,32.985,23.0895,Sweatshirts/Fleece,L,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.08,32.985,23.0895,Sweatshirts/Fleece,L,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.17,32.985,23.0895,Sweatshirts/Fleece,XL,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.17,32.985,23.0895,Sweatshirts/Fleece,XL,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.17,32.985,23.0895,Sweatshirts/Fleece,XL,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.17,32.985,23.0895,Sweatshirts/Fleece,XL,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,34.485,24.1395,Sweatshirts/Fleece,2XL,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,34.485,24.1395,Sweatshirts/Fleece,2XL,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,34.485,24.1395,Sweatshirts/Fleece,2XL,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,34.485,24.1395,Sweatshirts/Fleece,2XL,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.42,37.485,26.2395,Sweatshirts/Fleece,3XL,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.42,37.485,26.2395,Sweatshirts/Fleece,3XL,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.42,37.485,26.2395,Sweatshirts/Fleece,3XL,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.42,37.485,26.2395,Sweatshirts/Fleece,3XL,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.5,38.985,27.2895,Sweatshirts/Fleece,4XL,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.5,38.985,27.2895,Sweatshirts/Fleece,4XL,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.5,38.985,27.2895,Sweatshirts/Fleece,4XL,Night Sky Navy,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.5,38.985,27.2895,Sweatshirts/Fleece,4XL,Terrain Grey,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,40.485,28.3395,Sweatshirts/Fleece,XS,Deep Black,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,40.485,28.3395,Sweatshirts/Fleece,XS,Granite Grey Heather,AllMade
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.25,40.485,28.3395,Sweatshirts/Fleece,XS,Night Sky Navy,AllMade
